ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
NTGA,medium_airport,Anaa Airport,10,OC,PF,PF-U-A,,NTGA,AAA,,"-145.50999450683594, -17.35260009765625"
YARY,small_airport,Arrabury Airport,334,OC,AU,AU-QLD,,YARY,AAB,,"141.047771, -26.693023"
HEAR,medium_airport,El Arish International Airport,121,AS,EG,EG-SIN,El Arish,HEAR,AAC,,"33.8358001709, 31.073299408"
AAD,small_airport,Adado Airport,1001,AF,SO,SO-GA,Adado,,AAD,,"46.6375, 6.095802"
DABB,medium_airport,Rabah Bitat Airport,16,AF,DZ,DZ-36,Annaba,DABB,AAE,,"7.809174, 36.822201"
KAAF,small_airport,Apalachicola Regional Airport,20,NA,US,US-FL,Apalachicola,KAAF,AAF,AAF,"-85.02749634, 29.72750092"
SSYA,small_airport,Avelino Vieira Airport,2641,SA,BR,BR-PR,Arapoti,SSYA,AAG,PR0020,"-49.789101, -24.103901"
EDKA,small_airport,Aachen-MerzbrÃ¼ck Airport,623,EU,DE,DE-NW,Aachen,EDKA,AAH,,"6.186388969421387, 50.823055267333984"
SWRA,small_airport,Arraias Airport,1923,SA,BR,BR-TO,Arraias,SWRA,AAI,,"-46.884107, -13.025154"
SR-AAJ,small_airport,Cayana Airstrip,360,SA,SR,SR-SI,Awaradam,SMCA,AAJ,,"-55.577907, 3.898681"
NGUK,small_airport,Aranuka Airport,6,OC,KI,KI-G,Buariki,NGUK,AAK,,"173.636993, 0.185278"
EKYT,large_airport,Aalborg Airport,10,EU,DK,DK-81,Aalborg,EKYT,AAL,,"9.84924316406, 57.0927589138"
FAMD,medium_airport,Malamala Airport,1124,AF,ZA,ZA-NP,Malamala,FAMD,AAM,,"31.544599533081055, -24.818099975585938"
OMAL,medium_airport,Al Ain International Airport,869,AS,AE,AE-AZ,Al Ain,OMAL,AAN,,"55.60919952392578, 24.261699676513672"
SVAN,medium_airport,Anaco Airport,721,SA,VE,VE-B,Anaco,SVAN,AAO,,"-64.4707260131836, 9.430225372314453"
ID-0017,large_airport,Aji Pangeran Tumenggung Pranoto International Airport,73,AS,ID,ID-KI,Samarinda,WALS,AAP,,"117.249392, -0.374448"
URKA,medium_airport,Anapa Vityazevo Airport,174,EU,RU,RU-KDA,Anapa,URKA,AAQ,,"37.347301483154, 45.002101898193"
EKAH,medium_airport,Aarhus Airport,82,EU,DK,DK-82,Aarhus,EKAH,AAR,,"10.619000434899998, 56.2999992371"
ID-AAS,small_airport,Apalapsili Airport,3100,AS,ID,ID-PA,Apalapsili,,AAS,APA,"139.3108, -3.8832"
CN-0113,medium_airport,Altay Air Base,2460,AS,CN,CN-65,Altay,ZWAT,AAT,,"88.08580780030002, 47.7498855591"
NSAU,small_airport,Asau Airport,,OC,WS,WS-VS,Asau,NSAU,AAU,,"-172.627888, -13.505132"
RPMA,medium_airport,Allah Valley Airport,659,AS,PH,PH-SCO,Surallah,RPMA,AAV,,"124.7509994506836, 6.366819858551025"
SBAX,small_airport,Romeu Zema Airport,3276,SA,BR,BR-MG,AraxÃ¡,SBAX,AAX,,"-46.960399627686, -19.563199996948"
OYGD,medium_airport,Al Ghaidah International Airport,134,AS,YE,YE-MR,,OYGD,AAY,,"52.17499923706055, 16.191699981689453"
MGQZ,small_airport,Quezaltenango Airport,7779,NA,GT,GT-QZ,Quezaltenango,MGQZ,AAZ,,"-91.501999, 14.8656"
UNAA,medium_airport,Abakan Airport,831,AS,RU,RU-KK,Abakan,UNAA,ABA,,"91.38500213623047, 53.7400016784668"
DNAS,medium_airport,Asaba International Airport,305,AF,NG,NG-DE,Asaba,DNAS,ABB,,"6.665278, 6.204167"
LEAB,medium_airport,Albacete-Los Llanos Airport,2302,EU,ES,ES-CM,Albacete,LEAB,ABC,,"-1.8635200262099998, 38.9485015869"
OIAA,medium_airport,Abadan Airport,10,AS,IR,IR-10,Abadan,OIAA,ABD,,"48.2282981873, 30.371099472"
KABE,medium_airport,Lehigh Valley International Airport,393,NA,US,US-PA,Allentown,KABE,ABE,ABE,"-75.44080352783203, 40.652099609375"
NGAB,small_airport,Abaiang Airport,,OC,KI,KI-G,Abaiang,NGAB,ABF,,"173.04100036621094, 1.798609972000122"
YABI,small_airport,Abingdon Downs Airport,,OC,AU,AU-QLD,,YABI,ABG,,"143.167007446, -17.616699218799997"
YAPH,medium_airport,Alpha Airport,1255,OC,AU,AU-QLD,Alpha,YAPH,ABH,,"146.584, -23.646099"
KABI,medium_airport,Abilene Regional Airport,1791,NA,US,US-TX,Abilene,KABI,ABI,ABI,"-99.68190002440001, 32.4113006592"
DIAP,medium_airport,Port Bouet Airport,21,AF,CI,CI-01,Abidjan,DIAP,ABJ,,"-3.9262900352478027, 5.261390209197998"
HAKD,small_airport,Kabri Dehar Airport,1800,AF,ET,ET-SO,Kabri Dehar,HAKD,ABK,,"44.252998, 6.734"
PAFM,medium_airport,Ambler Airport,334,NA,US,US-AK,Ambler,PAFM,ABL,AFM,"-157.856989, 67.1063"
YBAM,small_airport,Northern Peninsula Airport,34,OC,AU,AU-QLD,Bamaga,YNPE,ABM,,"142.459, -10.9508"
SMBN,small_airport,Albina Airport,19,SA,SR,SR-MA,Albina,SMBN,ABN,,"-54.05009841918945, 5.512720108032227"
DIAO,small_airport,Aboisso Airport,95,AF,CI,CI-13,Aboisso,DIAO,ABO,,"-3.234722, 5.461944"
ABP,small_airport,Atkamba Airport,150,OC,PG,PG-WPD,Atkamba Mission,,ABP,AKA,"141.095277778, -6.0655555555600005"
KABQ,large_airport,Albuquerque International Sunport,5355,NA,US,US-NM,Albuquerque,KABQ,ABQ,ABQ,"-106.609001, 35.040199"
